0.25	 17701	 17565	 35212169		 7435		 -532615467		 1393577654		 90556
0.26	 17570	 17570	 12358779		 15865		 416370038		 -883726625		 99992
0.27	 17524	 17524	 26625321		 25341		 1722679644		 -678846985		 99992
0.28	 17622	 17622	 37309667		 35719		 -1317960885		 1838510097		 99996
0.29	 17509	 17509	 43224472		 47210		 11141087		 818797800		 99996
0.3	 17661	 17661	 11320931		 59549		 1514786378		 -1027611340		 99996
0.31	 17518	 17518	 -54883958		 73031		 -1096260339		 -598828735		 99996
0.32	 17589	 17589	 15545958		 87442		 536824265		 969263793		 99996
0.33	 17601	 17601	 55976537		 102841		 -1722941202		 -1649793532		 99996
0.34	 17559	 17559	 -126429492		 119282		 489434998		 -1429921486		 99997
0.35	 17600	 17600	 132310661		 136682		 -1404931933		 1497063907		 99997
0.36	 17547	 17547	 -106293083		 155135		 852200902		 841958784		 99997
0.37	 17571	 17571	 118116305		 174564		 -699887285		 898718701		 99997
0.38	 17551	 17551	 -109678056		 195013		 2064078308		 -1757826984		 99997
0.39	 17563	 17563	 98293109		 216450		 338012106		 -813484575		 99997
