State,1970,1971,1981,1982,1983,1984,1985,1986,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2003,2004,2016,2017,2018,2019,2020
Alabama,102.6,98.5,103.8,90.9,89.9,95.3,101.6,101.7,104.9,109.9,109.6,113.9,120.8,125.3,123.2,131,137.2,134.1,133.5,135.84,139.8,142,114,108.6,112.4,106.3,98.3
Alaska,11.3,12.6,17,23.9,25.9,28.6,29,31.4,30.2,33.3,33.9,34.5,35.8,35.7,35.5,40,41.1,41.2,42.2,42.86,42.9,46.2,33.4,33.7,34.5,34.3,36
Arizona,24.9,27,59.9,58.5,54.2,58.5,61.1,56.3,59.6,65.5,63.1,64,66.8,69.1,71.8,66.7,68.6,71.7,76.7,80.62,90.5,97.3,90.9,90.5,94.1,92.5,80.1
Arkansas,36.2,35.1,42.9,42.7,47.1,45,49.1,50,51,51.3,50.8,49.7,51.4,50.4,54.3,57.7,60.2,59.2,60.5,62.72,62.2,62.5,62.1,64.2,70.8,65.1,54.7
